,id,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
0,50294,Guilherme,0.0,"{'CA': 2, 'FC': 4, 'FS': 3, 'PE': 6, 'RB': 2}",mei,FLU,Nulo,0
1,37614,Evandro,2.1,"{'A': 2, 'CV': 1, 'FC': 12, 'FD': 1, 'FF': 1, 'FS': 6, 'PE': 12, 'RB': 6}",mei,SAN,Provável,1
2,37246,Ney Franco,6.3,{},tec,GOI,Provável,1
3,50284,Wilson,0.7,"{'DD': 8, 'FS': 1, 'GS': 9, 'PE': 2}",gol,ATL,Dúvida,0
4,50313,Elicarlos,1.2,"{'CA': 4, 'FC': 18, 'FD': 2, 'FF': 7, 'FS': 14, 'PE': 19, 'RB': 12}",mei,CHA,Provável,0
5,37656,Fábio,7.0,"{'CA': 2, 'DD': 27, 'DP': 2, 'FS': 3, 'GS': 27, 'PE': 9, 'SG': 7}",gol,CRU,Provável,1
6,37655,Rafael Moura,0.2,"{'CA': 1, 'FC': 24, 'FD': 2, 'FF': 4, 'FS': 13, 'I': 1, 'PE': 12, 'RB': 4}",ata,GOI,Provável,1
7,50293,Ramires,0.0,"{'FC': 2, 'FF': 1, 'FS': 2, 'PE': 1, 'RB': 2}",mei,PAL,Contundido,1
8,50301,Everton,0.0,"{'A': 2, 'CA': 3, 'FC': 32, 'FD': 3, 'FF': 3, 'FS': 22, 'G': 1, 'I': 7, 'PE': 31, 'RB': 18}",mei,SAO,Contundido,0
9,37657,Edu Dracena,0.0,"{'FC': 3, 'FD': 1, 'FF': 3, 'FS': 2, 'PE': 1, 'RB': 4, 'SG': 2}",zag,PAL,Nulo,1
10,37646,Betão,0.9,"{'CA': 5, 'CV': 1, 'FC': 14, 'FD': 1, 'FF': 2, 'FS': 21, 'PE': 43, 'RB': 29, 'SG': 6}",zag,AVA,Provável,1
11,37281,Mano Menezes,6.11,{},tec,PAL,Provável,1
12,50324,Hudson,0.0,"{'A': 1, 'CA': 3, 'FC': 25, 'FD': 4, 'FF': 1, 'FS': 10, 'G': 1, 'I': 1, 'PE': 18, 'RB': 22}",mei,SAO,Nulo,0
13,50328,Marcelo Oliveira,0.0,{},zag,GRE,Contundido,1
14,50317,David Braz,-0.1,"{'FC': 8, 'FD': 2, 'FF': 7, 'FS': 1, 'G': 2, 'PE': 14, 'RB': 16, 'SG': 4}",zag,GRE,Dúvida,1
15,50407,Marquinho,0.0,"{'FC': 9, 'FD': 2, 'FF': 1, 'FS': 3, 'I': 1, 'PE': 6, 'RB': 6}",mei,VAS,Nulo,1
16,50645,Eduardo,0.0,"{'A': 1, 'CA': 2, 'FC': 17, 'FS': 19, 'PE': 46, 'RB': 20, 'SG': 4}",lat,CHA,Contundido,0
17,51042,Apodi,0.0,"{'A': 1, 'CA': 3, 'FC': 36, 'FD': 8, 'FF': 8, 'FS': 27, 'G': 3, 'I': 5, 'PE': 41, 'RB': 10, 'SG': 7}",lat,CSA,Dúvida,1
18,51194,Rafael Pereira,-2.0,"{'CA': 3, 'FC': 2, 'FS': 3, 'G': 1, 'PE': 14, 'RB': 6}",zag,CHA,Suspenso,0
