,data,local,clube_casa,clube_casa_placar,clube_visitante,clube_visitante_placar
0,2019-07-27 17:00:00,Arena Palmeiras,PAL,1,VAS,1
1,2019-07-27 19:00:00,Beira-Rio,INT,1,CEA,0
2,2019-07-27 19:00:00,Mineirão,CRU,0,ATL,2
3,2019-07-27 19:00:00,Maracanã,FLU,1,SAO,2
4,2019-07-28 11:00:00,Arena Condá,CHA,0,BAH,0
5,2019-07-28 16:00:00,Vila Belmiro,SAN,3,AVA,1
6,2019-07-28 16:00:00,Maracanã,FLA,3,BOT,2
7,2019-07-28 19:00:00,Castelão (CE),FOR,1,COR,3
8,2019-07-28 19:00:00,Serra Dourada,GOI,0,ATL,0
9,2019-08-03 19:00:00,Castelão (CE),CEA,2,FOR,1
10,2019-08-03 19:00:00,Maracanã,FLU,2,INT,1
11,2019-08-04 11:00:00,Vila Belmiro,SAN,6,GOI,1
12,2019-08-04 16:00:00,Ressacada,AVA,0,BOT,2
13,2019-08-04 16:00:00,Fonte Nova,BAH,3,FLA,0
14,2019-08-04 19:00:00,Independência,ATL,2,CRU,0
15,2019-08-04 19:00:00,Arena Corinthians,COR,1,PAL,1
16,2019-08-04 19:00:00,Kleber Andrade,VAS,0,CSA,0
17,2019-08-05 20:00:00,Arena do Grêmio,GRE,3,CHA,3
18,2019-08-10 17:00:00,Castelão (CE),CEA,4,CHA,1
19,2019-08-10 17:00:00,Morumbi,SAO,3,SAN,2
20,2019-08-10 19:00:00,Maracanã,FLA,3,GRE,1
21,2019-08-10 21:00:00,Independência,ATL,2,FLU,1
22,2019-08-11 11:00:00,Beira-Rio,INT,0,COR,0
23,2019-08-11 16:00:00,Arena Palmeiras,PAL,2,BAH,2
24,2019-08-11 16:00:00,Engenhão,BOT,2,ATL,1
25,2019-08-11 16:00:00,Ressacada,AVA,2,CRU,2
26,2019-08-11 19:00:00,Serra Dourada,GOI,0,VAS,1
27,2019-08-17 17:00:00,Castelão (CE),FOR,0,INT,1
28,2019-08-17 17:00:00,Arena Corinthians,COR,2,BOT,0
29,2019-08-17 19:00:00,Mané Garrincha,VAS,1,FLA,4
30,2019-08-17 19:00:00,Arena da Baixada,ATL,1,ATL,0
31,2019-08-17 21:00:00,Arena do Grêmio,GRE,1,PAL,1
32,2019-08-18 16:00:00,Mineirão,CRU,2,SAN,0
33,2019-08-18 16:00:00,Morumbi,SAO,1,CEA,0
34,2019-08-18 16:00:00,Maracanã,FLU,0,CSA,1
35,2019-08-18 16:00:00,Fonte Nova,BAH,1,GOI,1
36,2019-08-24 11:00:00,Independência,ATL,0,BAH,1
37,2019-08-24 17:00:00,Arena do Grêmio,GRE,2,ATL,1
38,2019-08-25 16:00:00,Vila Belmiro,SAN,3,FOR,3
39,2019-08-25 16:00:00,São Januário,VAS,2,SAO,0
40,2019-08-25 16:00:00,Serra Dourada,GOI,2,INT,1
41,2019-08-25 19:00:00,Castelão (CE),CEA,0,FLA,3
42,2019-08-25 19:00:00,Ressacada,AVA,1,COR,1
43,2019-08-25 19:00:00,Rei Pelé,CSA,1,CRU,1
44,2019-08-26 20:00:00,Engenhão,BOT,0,CHA,0
45,2019-08-31 11:00:00,Morumbi,SAO,0,GRE,0
46,2019-08-31 17:00:00,Fonte Nova,BAH,1,CSA,0
47,2019-08-31 19:00:00,Arena Condá,CHA,0,SAN,1
48,2019-08-31 19:00:00,Arena da Baixada,ATL,1,CEA,0
49,2019-08-31 21:00:00,Beira-Rio,INT,3,BOT,2
50,2019-09-01 16:00:00,Castelão (CE),FOR,2,GOI,0
51,2019-09-01 16:00:00,Maracanã,FLA,3,PAL,0
52,2019-09-01 19:00:00,Mineirão,CRU,1,VAS,0
53,2019-09-01 19:00:00,Arena Corinthians,COR,1,ATL,0
54,2019-09-07 11:00:00,Arena Corinthians,COR,2,CEA,2
55,2019-09-07 11:00:00,São Januário,VAS,0,BAH,2
56,2019-09-07 17:00:00,Castelão (CE),FOR,0,FLU,1
57,2019-09-07 17:00:00,Mané Garrincha,AVA,0,FLA,3
58,2019-09-07 19:00:00,Beira-Rio,INT,1,SAO,0
59,2019-09-07 21:00:00,Serra Dourada,GOI,1,PAL,2
60,2019-09-08 11:00:00,Independência,CRU,1,GRE,4
61,2019-09-08 16:00:00,Vila Belmiro,SAN,1,ATL,1
62,2019-09-08 16:00:00,Engenhão,BOT,2,ATL,1
63,2019-09-14 17:00:00,Maracanã,FLA,1,SAN,0
64,2019-09-14 19:00:00,Arena Palmeiras,PAL,1,CRU,0
65,2019-09-14 19:00:00,Arena Condá,CHA,1,VAS,2
66,2019-09-14 21:00:00,Castelão (CE),CEA,0,BOT,0
67,2019-09-15 11:00:00,Independência,ATL,1,INT,3
68,2019-09-15 11:00:00,Arena da Baixada,ATL,0,AVA,1
69,2019-09-15 16:00:00,Arena do Grêmio,GRE,3,GOI,0
70,2019-09-15 16:00:00,Mané Garrincha,FLU,1,COR,0
71,2019-09-15 16:00:00,Fonte Nova,BAH,1,FOR,1
72,2019-09-21 11:00:00,Engenhão,BOT,1,SAO,2
73,2019-09-21 17:00:00,Mineirão,CRU,1,FLA,2
74,2019-09-21 19:00:00,Arena Corinthians,COR,2,BAH,1
75,2019-09-21 21:00:00,Vila Belmiro,SAN,0,GRE,3
76,2019-09-22 11:00:00,Beira-Rio,INT,1,CHA,0
77,2019-09-22 16:00:00,Castelão (CE),FOR,0,PAL,1
78,2019-09-22 16:00:00,São Januário,VAS,1,ATL,1
79,2019-09-22 16:00:00,Rei Pelé,CSA,1,CEA,0
80,2019-09-22 19:00:00,Serra Dourada,GOI,3,FLU,0
81,2019-09-25 19:30:00,Castelão (CE),CEA,0,CRU,0
82,2019-09-25 21:30:00,Morumbi,SAO,0,GOI,1
83,2019-09-25 21:30:00,Maracanã,FLA,3,INT,1
84,2019-09-25 21:30:00,Fonte Nova,BAH,2,BOT,0
85,2019-09-26 19:15:00,Pacaembu,PAL,6,CSA,2
86,2019-09-26 20:00:00,Arena do Grêmio,GRE,6,AVA,1
87,2019-09-26 20:00:00,Maracanã,FLU,1,SAN,1
88,2019-09-26 21:30:00,Arena da Baixada,ATL,4,FOR,1
89,2019-10-02 19:15:00,Independência,ATL,1,VAS,2
90,2019-09-28 19:00:00,Maracanã,FLA,0,SAO,0
91,2019-09-29 11:00:00,Arena Corinthians,COR,1,VAS,0
92,2019-09-29 16:00:00,Beira-Rio,INT,1,PAL,1
93,2019-09-29 16:00:00,Vila Belmiro,SAN,2,CSA,0
94,2019-09-29 16:00:00,Maracanã,FLU,2,GRE,1
95,2019-09-29 19:00:00,Independência,ATL,2,CEA,1
96,2019-09-29 19:00:00,Arena da Baixada,ATL,1,CHA,1
97,2019-09-30 20:00:00,Castelão (CE),FOR,1,BOT,0
98,2019-09-30 20:00:00,Ressacada,AVA,0,BAH,2
99,2019-10-05 17:00:00,Pacaembu,SAO,2,FOR,1
100,2019-10-05 17:00:00,São Januário,VAS,0,SAN,1
101,2019-10-05 19:00:00,Arena do Grêmio,GRE,0,COR,0
102,2019-10-05 19:00:00,Fonte Nova,BAH,1,ATL,2
103,2019-10-05 21:00:00,Mineirão,CRU,1,INT,1
104,2019-10-06 11:00:00,Arena Condá,CHA,0,FLA,1
105,2019-10-06 16:00:00,Castelão (CE),CEA,0,GOI,1
106,2019-10-06 16:00:00,Arena Palmeiras,PAL,1,ATL,1
107,2019-10-06 16:00:00,Engenhão,BOT,0,FLU,1
108,2019-10-09 19:15:00,Engenhão,BOT,3,GOI,1
109,2019-10-09 19:15:00,Rei Pelé,CSA,1,INT,0
110,2019-10-09 20:30:00,Castelão (CE),FOR,2,CHA,0
111,2019-10-09 21:00:00,Centenário,GRE,2,CEA,1
112,2019-10-09 21:00:00,Fonte Nova,BAH,0,SAO,0
113,2019-10-09 21:30:00,Mineirão,CRU,0,FLU,0
114,2019-10-09 21:30:00,Vila Belmiro,SAN,2,PAL,0
115,2019-10-10 19:15:00,Arena Corinthians,COR,2,ATL,2
116,2019-10-10 19:15:00,Ressacada,AVA,0,VAS,0
117,2019-10-12 17:00:00,Serra Dourada,GOI,1,CSA,0
118,2019-10-12 19:00:00,Maracanã,FLU,2,BAH,0
119,2019-10-12 21:00:00,Pacaembu,PAL,1,BOT,0
120,2019-10-13 16:00:00,Beira-Rio,INT,0,SAN,0
121,2019-10-13 16:00:00,Castelão (CE),CEA,1,AVA,0
122,2019-10-13 16:00:00,São Januário,VAS,1,FOR,0
123,2019-10-13 16:00:00,Arena da Baixada,ATL,0,FLA,2
124,2019-10-13 18:00:00,Morumbi,SAO,1,COR,0
125,2019-10-13 19:00:00,Independência,ATL,1,GRE,4
126,2019-10-16 19:15:00,Arena do Grêmio,GRE,-1,BAH,-1
127,2019-10-16 19:15:00,Rei Pelé,CSA,-1,ATL,-1
128,2019-10-16 20:00:00,Castelão (CE),FOR,-1,FLA,-1
129,2019-10-16 21:00:00,Mineirão,CRU,-1,SAO,-1
130,2019-10-16 21:00:00,Arena Palmeiras,PAL,-1,CHA,-1
131,2019-10-16 21:30:00,São Januário,VAS,-1,BOT,-1
132,2019-10-16 21:30:00,Serra Dourada,GOI,-1,COR,-1
133,2019-10-17 19:15:00,Vila Belmiro,SAN,-1,CEA,-1
134,2019-10-17 19:15:00,Ressacada,AVA,-1,INT,-1
