,id,rodada_id,pontos,preco,variacao,media,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
2639,78850,25,20.7,17.51,2.93,6.78,Reinaldo,20.7,"{'A': 1, 'CA': 4, 'FC': 28, 'FD': 7, 'FF': 18, 'FS': 27, 'FT': 1, 'G': 5, 'PE': 51, 'PP': 1, 'RB': 42, 'SG': 10}",lat,SAO,Provável,0
8591,38509,25,17.5,10.11,3.29,4.96,Diego Alves,17.5,"{'DD': 26, 'DP': 2, 'FS': 3, 'GS': 17, 'PE': 12, 'RB': 2, 'SG': 9}",gol,FLA,Provável,0
4931,91201,25,15.4,7.58,2.07,3.4,Pepê,15.4,"{'A': 1, 'CA': 1, 'FC': 10, 'FD': 6, 'FF': 12, 'FS': 14, 'G': 5, 'I': 7, 'PE': 29, 'RB': 10}",ata,GRE,Dúvida,1
4463,90285,25,14.7,21.28,1.94,6.75,Bruno Henrique,14.7,"{'A': 2, 'CA': 6, 'FC': 38, 'FD': 21, 'FF': 27, 'FS': 46, 'FT': 3, 'G': 11, 'I': 8, 'PE': 35, 'RB': 16}",ata,FLA,Suspenso,0
1655,69041,25,14.5,8.26,1.44,5.5,Muriel,14.5,"{'CA': 1, 'DD': 24, 'FC': 1, 'FS': 5, 'GS': 12, 'PE': 5, 'SG': 5}",gol,FLU,Provável,0
8459,38431,25,12.7,7.31,1.19,6.53,Diego Cavalieri,12.7,"{'DD': 18, 'FC': 1, 'GS': 7, 'PE': 1}",gol,BOT,Dúvida,0
647,63013,25,12.3,17.25,1.11,6.1,Marcos Rocha,12.3,"{'A': 1, 'CA': 2, 'FC': 29, 'FD': 1, 'FF': 4, 'FS': 23, 'G': 1, 'I': 1, 'PE': 58, 'RB': 54, 'SG': 6}",lat,PAL,Provável,1
2447,78445,25,12.2,9.56,1.27,4.74,Renê,12.2,"{'A': 2, 'CA': 2, 'FC': 15, 'FD': 2, 'FF': 2, 'FS': 6, 'PE': 39, 'RB': 28, 'SG': 8}",lat,FLA,Provável,0
5663,88065,25,11.8,16.53,0.59,7.31,Jorge,11.8,"{'A': 4, 'CA': 3, 'FC': 25, 'FD': 10, 'FF': 11, 'FS': 32, 'G': 1, 'I': 2, 'PE': 37, 'RB': 38, 'SG': 11}",lat,SAN,Provável,1
8555,99392,25,11.8,9.61,1.6,4.61,Michael,11.8,"{'A': 2, 'CA': 2, 'FC': 22, 'FD': 19, 'FF': 21, 'FS': 33, 'FT': 2, 'G': 5, 'I': 11, 'PE': 51, 'RB': 23}",ata,GOI,Provável,1
431,60819,25,11.5,16.07,0.86,5.23,Dedé,11.5,"{'CA': 2, 'FC': 13, 'FD': 4, 'FF': 6, 'FS': 19, 'G': 3, 'PE': 42, 'RB': 26, 'SG': 7}",zag,CRU,Provável,1
731,68696,25,11.5,5.97,1.56,2.14,Bergson,11.5,"{'CA': 1, 'FC': 12, 'FD': 10, 'FF': 11, 'FS': 16, 'G': 1, 'I': 6, 'PE': 13, 'RB': 4}",ata,CEA,Nulo,0
6575,95542,25,11.5,4.54,1.21,6.33,Orinho,11.5,"{'FC': 5, 'FD': 1, 'FF': 2, 'FS': 3, 'PE': 1, 'RB': 5, 'SG': 2}",lat,FLU,Nulo,0
3083,81845,25,11.4,9.23,1.72,5.87,Alisson,11.4,"{'A': 5, 'CA': 4, 'FC': 14, 'FD': 8, 'FF': 6, 'FS': 24, 'G': 3, 'PE': 22, 'RB': 15}",mei,GRE,Provável,1
1283,72359,25,11.1,10.08,1.08,2.25,Luiz Otávio,11.1,"{'A': 1, 'CA': 5, 'FC': 21, 'FD': 1, 'FF': 2, 'FS': 9, 'PE': 17, 'RB': 18, 'SG': 4}",zag,CEA,Provável,0
4763,91102,25,11.1,4.79,1.7,2.15,Flávio,11.1,"{'CA': 2, 'FC': 28, 'FD': 1, 'FF': 5, 'FS': 13, 'I': 1, 'PE': 20, 'RB': 33}",mei,BAH,Provável,0
